Generating RangedArray(valueRange: 5000) : ArrayList...
Generating RandomicArray(arraySize: 100, valueRange: 5000) : ArrayList...
FindKey: 4064 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 2667 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey:  551 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 4634
FindKey: 2520 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 4721 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 3700 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 2924 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 523
FindKey: 1903 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 976
FindKey: 1960 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey:  241 | FindTime: 0,000785 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey:  618 | FindTime: 0,000261 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey:  511 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 1353 | FindTime: 0,000261 ms | FindComparisons:    1 | ValueOfKey: 3566
FindKey: 1516 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 2292
FindKey: 2013 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 3111 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 2089 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 3909
FindKey: 1165 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 681
FindKey: 1339 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 3721
